name,latitude,longitude,2013,2014,2015,2016,2017,2018,2019
Antelope Big Sky Ranch,34.6948,-118.2877,,,,17.07,56.416000000000000,57.292,55.178000000000000
Antelope DSR 1,34.6556,-118.2807,,,,6.69,131.882,132.459,128.08
Antelope DSR 2,34.6869,-118.3117,,,,1.3880000000000000,14.248000000000000,14.562000000000000,11.112
Antelope DSR 3,34.7369,-118.3041,,,,,,,9.307
Antelope Expansion 2,34.745,-118.3092,,,,,,10.259,232.562
Apache Solar 1,32.0681,-109.8904,,,,,13.024000000000000,49.911,52.017
Apex Solar PV Power Project,36.39,-114.97,52.707,52.286,48.93,52.232,51.808,51.953,51.306000000000000
Apple Campus 2 PV,37.33,-122.01,,,,,3.387,3.688,15.279
Apple Data Center - PV2,35.7389,-81.2078,6.723,39.812,38.248,43.133,39.668,37.236000000000000,39.936
Apple Data Center PV,35.5881,-81.252,40.54446,36.854,39.065,42.92,39.58,37.908,33.409
Apple Data Center PV3,35.715,-81.15,,,0.433,38.998,36.663000000000000,35.442,36.144
Apple One,35.6294,-81.1569,,,2.069,9.511000000000000,9.849,9.361,9.845
Ararat Rock Solar  LLC,36.4611,-80.6006,5.971,6.088,5.981,6.367,5.946,5.614,5.508
Arborgate Solar,35.7174,-79.1195,,,,,,,7.413
Arcadia Solar,44.2434,-91.4582,,,,,,,1.371
Aries Community Solar,44.0449,-92.9886,,,,,0.79,5.664,5.755
Arizona Western College PV,32.6878,-114.4961,9.062,8.017,9.96,9.854000000000000,9.02,8.942,8.165000000000000
Arlington Valley Solar Energy II,33.305,-112.8339,194.722,365.124,356.963,364.396,357.988,335.124,348.39
Armstrong Solar,45.6423,-95.3564,,,,,,3.346,4.599
Arndt Farm,35.7792,-81.1756,9.371,9.191,8.73,9.617,8.969,8.549,8.909
Arrache 8083,34.6478,-118.0611,2.76309,11.588000000000000,4.445,3.567,2.32,4.272,2.325
Arthur Solar  LLC,34.1609,-78.8466,,,,,,3.4210000000000000,9.598
Ashley Solar Farm,36.1261,-80.7989,,,7.16,7.686,6.947,6.954,6.969
Aspen Solar  LLC,34.7912,-78.0121,,,0.918,9.984,9.82,8.89,9.288
Aspiration G,36.5522,-120.3525,,,,,5.524,22.152,19.658
Athens MN CONX,45.459,-93.2657,,,,,,0,9.197000000000000
Atkinson Farm Solar,34.897,-77.7952,,,,9.629,9.692,8.257,9.03
Atwater Solar,45.1409,-94.7697,,,,0,6.085,7.768,7.1770000000000000
Atwell Island,35.895,-119.5108,42.161,42.025,41.314,41.255,38.063,39.778,37.593
Atwell Island West Solar,35.815,-119.4597,,,32.21,56.979,55.712,55.411,53.229
Audrey Solar,35.3281,-81.6219,,,,3.169,5.098,4.89,4.923
Augustus Farm  LLC,35.5997,-77.6391,,,0,9.902000000000000,10.321,9.903,9.798
Aulander Holloman Solar  LLC,36.2912,-77.0666,,,,,,0.03861,84.78
Aulander Hwy 42 Solar  LLC,36.2486,-77.0852,,,,,,,10.484
Auten Road Farm  LLC,35.305,-81.1373,,,,,0,7.566,10.008000000000000
