name,latitude,longitude,2013,2014,2015,2016,2017,2018,2019
City & County of Denver at Denver Int'l,39.9041,-104.6542,5.853,6.732,6.5280000000000000,7.039000000000000,6.92,7.034,6.74
City of Gallup Solar,35.5224,-108.7788,,,,,,13.4,17.362000000000000
City of Lexington,40.757,-99.734,,,,,4.655,6.67,6.482
City of Pratt Solar,37.7106,-98.7209,,,,,,,4.109
Clarke Solar Power Facility,39.0648,-78.1382,,,,,9.257,16.330000000000000,17.771
Clear Spring Ranch PV Project,38.6021,-104.6947,,,,2.1670000000000000,21.989,27.238,23.755
Cline Solar Farm  LLC,35.72,-81.417,,,,0,3.138,8.338000000000000,8.528
Clipperton Holdings,34.9669,-78.3544,,,,,0.774,9.450000000000000,9.888
CoTAL Solar Farm,30.3793,-84.3539,,,,,3.005,37.533,38.07
Coats Solar Farm  LLC,35.4145,-78.6906,,,,5.6690000000000000,10.062,9.644,9.781
Cogentrix of Alamosa,37.5986,-105.9558,65.592,63.654,58.855000000000000,63.848,59.245000000000000,59.148,54.831
Cohalan,40.7625,-73.1944,4.87872,5.191,5.1610000000000000,5.181,4.791,4.831,4.059
Cohen Farm Solar  LLC,35.5572,-79.1958,,,,3.047,10.16,9.519,9.601
Colgreen North Shore Solar Farm,33.5401,-115.9748,,,,,,4.9830000000000000,187.68800000000000
Colonial Pipeline Woodbury West Deptford,39.8173,-75.1969,,,,,,,3.9330000000000000
Colonial Trail West,37.1389,-76.9022,,,,,,,6.4510000000000000
Columbia Solar Energy  LLC,38.0197,-121.8651,,,4.485,40.794000000000000,41.315,39.313,38.363
Comanche Solar,38.2053,-104.5667,,,,84.592,285.438,297.86,290.821
Commerce Solar,29.4344,-98.6176,,,,,,,1.585
Community Solar 1,32.9828,-115.4819,,6.62,14.478,13.953060000000000,13.644,11.73,13.877
Concord Farm,35.4442,-80.6636,,5.64201,5.692,6.214,5.784,4.7700000000000000,4.34
Conetoe II Solar  LLC,35.822,-77.481,,,1.1260000000000000,166.25900000000000,170.872,156.127,156.601
Conetoe Solar,35.8252,-77.4578,,,0,10.353,9.924,10.224,10.046
Constellation New Energy Inc,39.9289,-74.8181,6.631,6.359,6.377,6.3260000000000000,6.073,5.729,6.299
Cookstown,35.4368,-77.9738,,,,,,,10.095
Coolidge Solar 1  LLC,43.4248,-72.6653,,,,,,0.317,26.448
Cooperative Solar One,38.0272,-84.2547,,,,,1.33,13.787,14.457
Copper Mountain Solar 2,35.7864,-114.9628,226.935,224.98600000000000,354.249,356.633,366.361,367.474,357.955
Copper Mountain Solar 3,35.8894,-114.9579,,155.288,602.427,605.854,607.761,613.866,592.1510000000000
Copper Mountain Solar 4  LLC,35.7822,-114.9754,,,,42.979,249.01500000000000,263.829,265.97700000000000
Coral Farms Solar Energy Center,29.7569,-81.8972,,,,,11.229000000000000,153.604,154.754
Corcoran CSG,45.0958,-93.645,,,,,,0,6.916
Corcoran Solar,36.1383,-119.5733,19.834650000000000,51.228,52.42,51.179,50.896,50.546,44.698
Corcoran Solar 2,36.1419,-119.5817,,,34.502,50.862,50.255,50.282000000000000,48.951
Corcoran Solar 3,36.1504,-119.5854,,,,53.413000000000000,52.105000000000000,52.557,49.755
Cork Oak Solar,36.371,-77.571,,,,,0.025,33.778,39.872
Cornerstone Power Holmdel LLC,40.3522,-74.1878,3.051,5.024,4.89,4.823,4.298,3.6990000000000000,3.904
Cornerstone Power Vineland I LLC,39.4397,-75.0439,5.38362,5.575,5.609,5.587,5.339,4.618,5.282
Cornwall Solar Center  LLC,36.3669,-78.6261,,,,0.596,9.698,8.809000000000000,9.356
Coronal Lost Hills,35.7267,-119.9058,,,35.254,52.623,52.093,52.63,50.686
Correctional Solar LLC,37.4715,-76.8569,,,,,1.7790000000000000,33.266,34.197
Corvus Community Solar,44.1914,-93.944,,,,,,0.029,6.797
Cottage Grove CSG  LLC,44.8421,-92.8737,,,,,,3.359,6.113
Cottage Grove Project CSG,44.7907,-92.8727,,,,,,2.202,6.682
Cottage Street Solar Facility,42.1453,-72.5383,,2.972,5.123,5.051,4.33494,4.565,4.1770000000000000
Cotten Farm  LLC,35.5285,-79.1985,,,,1.0030000000000000,10.036,9.547,9.697000000000000
Cotton Center Solar Hybrid,33.0347,-112.6617,43.658,43.648,42.798,38.993,32.594,36.792,39.075
Cottonwood Solar  LLC,36.5081,-77.6144,,,,,,,5.869
Cottonwood Solar  LLC (City of Corcoran),36.1344,-119.5544,,,20.772000000000000,29.661,27.679000000000000,28.711000000000000,25.943
Cottonwood Solar  LLC (Goose Lake),35.5936,-119.58,,,24.269000000000000,35.207,34.853,34.26,32.276
County Home Solar LLC,34.9255,-79.7229,,,,,,2.242,10.245000000000000
Covington Solar Farm,36.3179,-97.5859,,,,,,21.496000000000000,21.842
Cranbury,40.3147,-74.4992,,6.531,7.149,7.384,6.66,6.307,6.71
Crane Solar Facility,38.8164,-86.8842,,,,,20.116,28.080000000000000,27.713
Crater Community Solar,44.7987,-95.5083,,,,,0.29,5.287,4.635
Crawfordsville 2 Solar Park,40.0558,-86.8884,,,,,,,0.14100000000000000
Crawfordsville 3 Solar Park,40.0781,-86.8968,,,,,,,0.159
Creech Solar 2  LLC,35.722,-78.6043,,,,0,9.354000000000000,9.195,8.982
Crescent Dunes Solar Energy,38.2389,-117.3636,,,3.5340000000000000,127.33800000000000,42.029,195.81,50.168
Crestwood Solar Center LLC,36.3535,-78.5842,,,,6.723,9.364,8.679,9.114
Creswell Alligood Solar  LLC,35.8989,-76.3794,,,16.908,29.698,30.909,30.493000000000000,25.268
Crockett Farm,35.2308,-77.5525,,0.168,9.621,9.33,8.878,8.956,8.468
Crooked Run,34.677,-77.9775,,,,,,,2.664
Cumblerland Land Holdings  LLC,34.9497,-86.8681,,,,,,0.076,27.084
Currin Solar  LLC,36.2896,-78.6333,,,0,8.439,9.353,8.572000000000000,8.971
Cuyahoga County Landfill,41.4431,-81.7515,,,,,,0.889,4.764
Cuyama Solar  LLC,34.901,-119.596,,,,,6.259,116.575,103.23400000000000
Cyril,34.8981,-98.2279,,,,,7.238,10.098,9.965
DD Fayetteville Solar NC LLC,34.8344,-78.8436,,,0.98,35.95,35.583,23.122,32.606
DEC Phase II at Georgetown,38.665,-75.3994,,,,,,,0
DG AMP 1048 Wadsworth,41.0128,-81.7643,,,,,,,0
DG AMP Solar Bowling Green,41.396,-83.582,,,,,38.421,41.927,37.213
DG AMP Solar Piqua Manier,40.1304,-84.2554,,,,,,,12.762
DG Amaze ACY1,39.8229,-75.2163,,,,,,,3.4410000000000000
DG Crystal Spring CSG,41.6798,-70.4953,,,,,2.696,18.17937,6.912
DG Dighton LLC CSG,41.8015,-71.1448,,,,,2.152,4.648,5.038
DG Haverhill CSG,42.817,-71.1168,,,,,1.8880000000000000,14.22531,4.864
DG New Jersey Solar RLS Logistics,39.5752,-75.0141,,,,,0,4.4110000000000000,5.4910000000000000
DOE Golden NREL Main Campus,39.7409,-105.171,2.423,2.541,2.5180000000000000,2.7920000000000000,2.8000000000000000,2.802,3.803
DSM Nutritional Products Solar,40.8368,-75.0655,,,,,,0,11.392
DSM Solar,40.8437,-75.0652,,,,7.033,6.3500000000000000,5.913,6.252
DWW Solar ll,41.5416,-72.475,,,,,,,1.422
Dalton 2,34.7181,-84.9319,,0.504,0.9490000000000000,11.071,10.503,9.564,9.949
Dandan Solar Power Plant,13.3035,144.7492,,,,,,,
Daniel Farm LLC,35.8489,-80.5536,,7.832,9.249,9.774000000000000,9.166,8.605,7.9270000000000000
Danville,36.6606,-79.2991,,,,,,5.6610000000000000,13.045
Darlington Solar  LLC,34.32,-79.917,,,,0,20.69,19.762,18.791
Dartmouth,41.6761,-70.9969,,7.462,9.50499,9.477,8.798,8.254,8.962
Davis Lane Solar  LLC,36.1073,-76.5292,,,,,0.002,8.889,9.672
Davis Monthan AFB (AZ) West Airfield,32.1736,-110.8997,,33.048,,,,2.536,30.156000000000000
Day Four Solar LLC,40.053,-74.556,,,,,,,7.946
Daystar Solar,35.0356,-77.2025,,,,,1.8940000000000000,9.238,9.719
DeSoto Next Generation Solar Energy,27.3232,-81.8019,49.827,47.421,50.036,48.65,48.2,46.882,45.754
Decatur County Solar Project,30.965,-84.6261,,,0.067,46.465,43.93,40.872,43.053000000000000
Decatur Parkway Solar Project  LLC,30.9919,-84.6339,,,0.176,198.822,185.46,175.16,184.912
Deep Branch Farm,34.6708,-79.1994,,,,,9.191,8.596,9.35
Deerfield CSG Solar,42.5629,-72.5892,,,,,0.036000000000000000,4.737,3.319
Delco Farm,34.319,-78.2091,,,,5.554,9.386000000000000,8.286,8.696
Delilah Road Landfill,39.4161,-74.5439,,,,2.432,14.566,14.159,14.89
Delta Solar Power I,42.7,-84.701,,,,,,6.288,12.864
Delta Solar Power II,42.707,-84.7,,,,,,7.34,24.704
Dement Farm LLC,36.27,-78.3483,2.79,9.208,9.056000000000000,9.143,9.15,8.775,8.93
Demille Solar Farm,43.04,-83.3332,,,,,25.128,39.897,41.485
Deming Solar Energy Center,32.1658,-107.7506,12.236,21.136,19.996,20.864,17.638,20.161,18.781
Dennis Landfill,41.6931,-70.145,,1.109,6.335,7.625,7.029,5.96,7.279
Depot Park Solar System,38.515,-121.3983,6.956,6.86,6.162,5.263,5.57,6.083550000000000,5.661810000000000
Desert Green Solar Farm LLC,33.2706,-116.3481,,0.961,15.465,14.189,13.437000000000000,13.485,15.478
Desert Star,33.145,-112.66,,,14.817,8.924,17.273,29.69,31.006
Desert Star Hybrid,33.1456,-112.6591,,,,,,,31.006
Desert Sunlight 250  LLC,33.8055,-115.3947,28.534,473.49,613.941,623.742,618.201,619.921,603.732
Desert Sunlight 300  LLC,33.8231,-115.3939,75.767,547.415,672.822,722.54,702.928,724.92,695.267
Dessie Solar Center LLC,34.3028,-78.8358,,1.0030000000000000,9.209,14.516,8.989,8.378,8.722
Devens,42.5592,-71.6259,,2.365,4.987,5.015,4.636,4.421,3.815
Diamond Solar,33.7862,-81.2736,,,,,,,12.906
Dibrell Farm,36.4717,-79.5281,6.8,9.143,9.263,9.584,9.289,8.478,8.927
Dickinson Solar,40.1976,-77.2197,,,,,,,5.008
Dix Solar  L.L.C,39.9774,-74.6219,,,,,8.412,20.053,20.681
Dixon Dairy Road Solar,35.1992,-81.4108,7.087,7.426,6.829,7.305,7.029,6.784,6.9350000000000000
Dodge Center Solar,44.026,-92.8816,,,,0,9.619,12.502,10.872
Dodge Holdco Solar CSG,44.0224,-92.757,,,,,2.71,6.231,6.3020000000000000
DodgeSun CSG,44.0404,-92.69,,,,,0.099,8.958,8.457
Dogwood Solar  LLC,36.125,-77.4092,,0.76,38.517,41.023,41.975,35.083,35.174
Dougherty County Solar  LLC,31.512,-84.0445,,,,,,,14
Dover Sun Park,39.1836,-75.5044,18.152,17.792,17.439,17.596,16.59141,16.16373,17.225010000000000
Dow Jones South Brunswick Solar,40.3698,-74.5868,5.016,4.816,4.961,5.147,4.567,4.007,4.8180000000000000
Downs Farm Solar,36.3619,-76.9169,,,0.5690000000000000,7.783,8.511000000000000,8.605,8.56
Dragstrip Farm,35.7581,-81.4161,,0.883,9.14,9.86,8.965,8.898,8.956
Dublin Solar I,32.581,-82.926,,,,7.176,7.053,6.3660000000000000,6.982
Duke Building 129,39.9108,-86.2453,,0.071,4.091,3.241,2.81,3.968,4.588
Dundas Solar Holdings LLC CSG,44.4396,-93.1973,,,,,,6.69,6.607
Duplin Solar I LLC (160 Houston Lane),34.9601,-77.9804,,,,9.24,9.092,8.056000000000000,8.026
Duplin Solar LLC,35.0119,-78.0783,0.28800000000000000,9.315,9.244,9.589,9.484,8.870000000000000,8.923
Durham Solar,36.0049,-78.8485,,,0.001,6.106,6.265000000000000,5.921,6.073
EDF Lancaster,42.5292,-71.6653,,3.209,6.165,6.947,6.208,5.8340000000000000,6.315
EE Waianae Solar Project,21.452,-158.1879,,,,,47.294000000000000,63.45512,66.98214
EGP Stillwater Solar PV II  LLC,39.542,-118.5601,,,,,,39.522,27.005
Eagle Creek,35.214,-119.3952,,,,,,,0.066
Eagle Point Solar,42.4008,-122.8292,,,,,0,18.684,18.865000000000000
East Acres Solar NG  LLC,42.4875,-73.2423,,,,,3.672,4.198,4.582
East Longmeadow Solar PV,42.0468,-72.4591,,,,,,0,0.423
East Orange Solar,40.7476,-74.3358,,,,6.476,6.37,5.987,6.194
East Pecos Solar,31.0009,-102.2817,,,,,241.679,294.444,290.98900000000000
Eastern Shore Solar  LLC,37.9439,-75.5696,,,,15.912,157.538,153.665,165.334
Eastover Farm,34.7422,-79.4631,,2.843,9.265,9.709,9.822000000000000,8.948,8.763
Eastwood Solar,44.1545,-93.9166,,,,0,7.317,10.46,9.318
Eddy II,31.2912,-97.2607,,,,,,0.419,18.324
Eden Solar LLC,35.1485,-79.6364,,,2.273,84.057,92.991,85.098,85.58
Edenton Solar,36.054,-76.544,,,,,,,0.127
Edison Solar,33.2442,-81.3862,,,,,,,5.339
Edwards Air Force Base,34.9077,-117.9206,2.557,2.592,1.998,2.79,2.741,2.24,2.481
Eichtens Community Solar,45.3827,-92.7725,,,,0,5.973,5.613,5.298
Elbe Solar Center,44.618,-121.205,,,,,,10.632,20.744
Elevation Solar C,34.7303,-118.3042,,,,9.046,110.367,115.937,110.729
Elizabeth Mines Solar 1,43.8236,-72.3311,,,,,0.12,6.963,6.857
Elliana Solar,36.1311,-79.3325,,,1.02,9.676,9.57,8.774000000000000,9.072000000000000
Ellis Solar,42.4446,-76.4332,,,,,,,0
Elm City Solar Facility,35.7811,-77.8469,,,,51.618,82.07000000000000,79.375,79.638
Elm Solar  LLC,35.4538,-79.1895,,,0.001,9.529,9.988,9.268,9.055
Empire Solar,44.6644,-93.1088,,,,0,8.203,8.056000000000000,7.706
Ennis Solar  LLC,35.422,-78.7217,,,,,,,0.856
Enterprise Solar  LLC,37.6411,-113.6125,,,,140.267,224.267,225.336,220.046
Equuleus Community Solar Gardens,44.7261,-93.0227,,,,,1.528,9.087,6.295
Erwin Farm,35.3333,-78.6614,,2.665,7.437,7.715,7.684,6.372,7.333
Escalante Solar I  LLC,38.5242,-113.0339,,,,85.34,206.822,204.549,205.14600000000000
Escalante Solar II  LLC,38.5008,-113.03,,,,94.435,209.256,208.002,203.681
Escalante Solar III  LLC,38.4978,-112.9869,,,,97.501,207.945,206.537,204.442
Essex Solar Center,37.8341,-76.8,,,,,1.0170000000000000,37.917,42.723
Estill Solar,32.7638,-81.2422,,,,,1.574,21.536,39.237
Estill Solar II,32.7278,-81.2535,,,,,0,15.92,20.149
Everett PV1,35.8211,-77.3096,,,,,,,0
Everetts Wildcat Solar  LLC,35.8472,-77.1114,,,8.636000000000000,10.544,11.099,10.651,9.397
Exelon Solar Chicago,41.6758,-87.6514,14.293000000000000,14.527000000000000,14.126,14.102,14.328000000000000,13.701,14.091000000000000
Exeter Solar,36.2675,-119.1286,,6.559,7.059,6.956,6.606,6.736,6.659
Exum Farm Solar  LLC,35.3704,-77.4549,,,,0.11800000000000000,9.103,9.148,9.429
FL Solar 4  LLC,30.2354,-84.2233,,,,,,,1.422
FLS Solar 200  LLC,34.5819,-78.94,,0.648,5.663,6.4,6.813,6.243,6.345
FLS Solar 230 (Warren),35.0161,-77.8219,,,4.926,8.92,9.119,8.587,8.621
Facebook 1 Solar Energy Center,34.831,-106.762,,,,,0.658,26.553,23.609
Facebook 2 Solar Energy Center,35.08,-106.865,,,,,,24.949,24.181
Facebook 3 Solar Energy Center,35.075,-106.865,,,,,,22.87,24.649
Fairmont-FLS 100,34.52,-79.13,0.21780000000000000,7.355,6.114,6.668,7.311,6.505,6.855
Falmouth Landfill Solar,41.6101,-70.5986,,,,,3.697,4.865,4.924
Farmersville,36.19,-119.12,,3.158,8.822000000000000,8.804,8.122,7.976,7.962
Farmington Holdco Solar,44.6231,-93.134,,,,,6.005,7.431,6.5840000000000000
Federal Road Solar 1  LLC CSG,41.8069,-70.7257,,,0.056,6.418,6.836,6.45,7.3340000000000000
Felton CSG PV1-5,44.5417,-92.9736,,,,,,,3.739
Fennimore Solar,42.971,-90.662,,,,,,,0.442
Fiddler's Canyon #1,37.7503,-113.2537,,,1.546,7.0120000000000000,7.438,7.485,7.156000000000000
Fiddler's Canyon #2,37.7947,-113.2837,,,1.589,7.274,7.3180000000000000,7.3660000000000000,6.105
Fiddler's Canyon 3,37.7313,-113.2166,,,0,7.164000000000000,7.178,7.0920000000000000,6.5920000000000000
Fisher Road Solar,41.5933,-71.0181,,,8.25,8.563,7.713,7.558,8.011000000000000
Fisher Solar Farm - NC,35.2413,-80.0346,,,,9.601,9.746,8.907,8.347
Five Forks Solar,36.5155,-78.0337,,,,,,,0.278
Five Points Solar Park,36.3869,-120.2367,,,,42.913000000000000,148.982,162.129,144.532
Five Points Solar Station,36.4003,-120.1033,28.338,28.299,25.471,29.839000000000000,27.708000000000000,28.699,26.209
Flash Solar,35.7581,-81.2294,,,0.5710000000000000,9.443,8.733,8.591,8.748
Flat Meeks PV 1,35.8067,-77.2706,,,,,0.34900000000000000,4.3020000000000000,7.091
Flemington Solar,40.4839,-74.8567,12.74229,12.231,13.065,13.4,12.5,11.751,12.314
Flemming Solar Center LLC,35.6689,-77.3839,,0.256,8.215,9.296,9.175,8.729000000000000,8.923
Flint Hill Solar  LLC,35.4027,-79.5531,,,,2.3770000000000000,9.644,8.981,9.004
Florence Solar W3-080  LLC,40.0956,-74.7876,,,,0.043000000000000000,11.913,11.281,12.288
Flowers Solar LLC,35.4122,-78.6031,,,,,,,6.5280000000000000
Floyd Road Solar Farm,36.5059,-77.6775,,,,,3.593,9.198,7.014
Floyd Solar  LLC,34.5091,-79.1359,,,,3.841,10.232000000000000,9.174,9.467
Foothills Solar Plant Hybrid,32.6486,-114.4287,61.1,80.654,110.82000000000000,96.915,95.58800000000000,93.025,95.51
Forbes Street Solar,41.7731,-71.3389,0.057,4.341,4.75,4.823,4.543,4.514,3.843
Foreman's Hill Community Solar,44.5533,-92.6369,,,,,,2.584,7.283
Forest City Solar,43.276,-93.629,,,,,,,1.059
Forest Lake Solar CSG,45.2535,-92.894,,,,,2.767,6.6370000000000000,5.548
Fort Benning Solar Facility,32.3524,-84.9688,,,2.706,60.69,56.01,55.294000000000000,53.291000000000000
Fort Calhoun Community Solar,41.4566,-96.0048,,,,,,,0.099
Fort Detrick Solar PV,39.44,-77.45,,,,,20.55,21.199,22.447
Fort Gordon Solar Facility,33.3866,-82.1401,,,,12.655000000000000,58.789,56.53,56.554
Fort Huachuca Solar PV Project,31.5553,-110.35,,0,29.54,31.257,36.639,35.988,37.307
Fort Indiantown Gap,40.4276,-76.5731,,,,,,,4.849
Fort Rucker Solar Array,31.3311,-85.7302,,,,,16.206,13.376,14.223
Fort Stewart Solar Facility,31.9047,-81.5954,,,,12.104000000000000,58.401,52.716,54.268
Founders Homestead Farms Solar,41.5768,-71.2782,,,,,,0,0
Fox CSG  LLC,45.3926,-92.6813,,,,,,1.284,6.916
Fox Creek Solar,36.1269,-78.2731,,,,,,5.665,92.42244000000000
Foxfire Solar Farm,35.2206,-79.5519,,,3.5420000000000000,10.14,10.143,9.462,9.605
Frankford Solar,41.1666,-74.7016,,,,10.894,11.468,10.363,10.165000000000000
Franklin 1,42.0406,-71.3936,0.25641,4.561,4.5600000000000000,4.9110000000000000,4.367,3.971,3.6390000000000000
Franklin 2,42.0542,-71.3917,0.033660000000000000,6.011,6.057,6.413,5.941,5.565,4.665
Franklinton Solar,36.08,-78.35,,,,,7.359,9.337,9.536
Freedom Solar,34.287,-79.148,,,,,0.024,9.200000000000000,9.668000000000000
Freemont Solar Center LLC,35.4276,-80.9972,,,,0.266,9.503,9.007,9.229000000000000
Freetown Solar,41.7664,-70.9808,,,6.066,7.936,7.17,7.15,7.2620000000000000
Fremont Farm,35.5319,-77.9692,,,,,0.873,9.737,9.713000000000000
French's Landfill PV,40.1097,-74.1302,,,,7.664000000000000,6.88,7.085,5.085
Frenchtown I Solar,40.5217,-75.0122,4.6025100000000000,4.539,4.8790000000000000,4.9,4.593,4.273,4.44
Frenchtown II Solar,40.5144,-74.9769,4.441140000000000,4.276,4.676,4.67,4.376,4.066,4.285
Frenchtown III Solar,40.4825,-75.0181,0.00594,11.455,13.545,13.615,12.652000000000000,11.811,12.372
Fresno Solar,36.6168,-120.1051,,,0.646,6.4430000000000000,6.140000000000000,6.226,6.223
Frontenac Holdco LLC  CSG,44.5017,-92.3587,,,,,,,5.8870000000000000
Frontier Solar LLC,37.3799,-121.1307,,,,28.416,51.261,53.191,52.092
Ft. Churchill PV,39.1281,-119.14,,,14.4,39.842,36.509,35.396,36.412
Fusion Solar Center LLC,41.6239,-72.0431,,,,,,28.266000000000000,39.693
G&S Wantage Solar LLC,41.1892,-74.5917,,9.071,9.499,10.339,9.245000000000000,8.581,9.305
GKS Solar,36.2483,-76.5019,,,1.248,9.192,8.370000000000000,8.544,8.397
GMP Solar - Hartford,43.6321,-72.4186,,,,0.037,7.3340000000000000,7.308,7.494
GMP Solar - Panton Hybrid,44.0858,-73.1954,,,,0.057,8.524000000000000,8.440000000000000,8.001000000000000
GMP Solar - Williamstown,44.1361,-72.5105,,,,0.008,7.063,6.945,6.6290000000000000
GMP Solar - Williston,44.4655,-73.1032,,,,0.136,6.796,6.9030000000000000,7.2010000000000000
GMP Solar/Storage-Essex Hybrid,44.2859,-73.0234,,,,,,,1.578
GMP Solar/Storage-Ferrisburgh Hybrid,44.1334,-73.1441,,,,,,,0.833
GMP Solar/Storage-Milton Hybrid,44.3921,-73.1023,,,,,,,1.056
GSPP Boxborough Littleton (MA),42.4856,-71.5409,,,,,,,5.5
GSPP Held LLC CSG,45.5268,-94.2847,,,,,,,2.043
GSPP Terrawatt Westfield LLC CSG,42.1775,-72.727,,,,,,,5.396
GSSP Schneider LLC,45.5295,-94.2975,,,,,,,0.37
Gamble Solar,35.3484,-81.8174,,,,,,,0.15
Garfield Solar,40.8886,-74.1222,,,,,,,0.877
Garnet Solar Generation Station I LLC,33.8906,-116.5431,,0.135,9.469,9.60201,9.055530000000000,8.41,4.429
Garrell Solar Farm,34.3253,-78.7931,,7.461,7.085,7.26,7.437,6.836,6.752
Garrett Solar,42.16,-120.4,,,,,,,0.227
Garysburg Solar,36.468,-77.592,,,,6.821,9.105,8.737,9.215
Gaskell West 1 Solar Facility,34.8328,-118.5636,,,,,,51.319,52.494
Gaskill Rd Community Solar Farm CSG,42.116,-76.183,,,,,,,0
Gaston II,33.7784,-81.1103,,,,,,0,11.879
Gaston Solar,36.5147,-77.6561,,,,5.589,9.323,8.619,8.143
Gaston Solar I - SC,33.7747,-81.1105,,,,,,16.435,20.829
Gastonia Solar Center,35.229,-81.1891,,,,,,0.17400000000000000,4.4110000000000000
Gates Solar LLC,36.4508,-76.8036,,,0,10.166,9.216000000000000,9.527000000000000,9.64
Gates Solar Station,36.1764,-120.1142,26.44,47.646,43.228,43.717,42.378,43.311,33.235
Gateway Solar,38.3769,-75.2742,,,,,,,7.92
Gato Montes Solar  LLC,32.1028,-110.8197,9.873,10.249,9.605,9.973,9.666,8.9,8.499
Gemini Community Solar,45.3003,-92.8044,,,,,1.31,5.315,4.386
Genentech Vacaville Meter #1,38.3908,-121.9478,,,,0,9.242,13.088000000000000,12.499
Genentech-Oceanside Hybrid,33.2111,-117.2996,,,,0,0,0,6.641
Genesis Solar Energy Project,33.665,-114.9981,7.029,576.113,621.4540000000000,624.142,627.831,623.142,617.043
Gibbon Solar,44.5209,-94.5244,,,,,,0,2.581
Giffen,36.5303,-120.3161,24,21.518,21.772000000000000,20.678,18.175,18.948,17.464
Giffen Solar Park,36.5447,-120.3161,,,,,29.133,36.96,31.787
Gila Bend Hybrid,32.9408,-112.8814,,63.746,104.802,102.97500000000000,100.19800000000000,96.214,94.765
Gloucester Solar,37.45,-76.45,,,,,,,35.52
Golden Fields Solar I  LLC,34.839,-118.3868,,,,14.88674,150.342,152.651,148.94
Golden Hills Solar,42.4,-72,,,,,1.284,7.2620000000000000,7.4350000000000000
Goldfinch,27.9821,-82.042,,,,0.112,5.694,5.086,5.215
Gopher CSG,45.3986,-92.6792,,,,,0.211,7.3,7.051
Graham Solar Center LLC,34.3097,-79.0144,,0.095,7.867,14.402000000000000,9.838000000000000,7.282,9.194
Grand Ridge Solar Farm,41.1434,-88.7583,34.331,31.311,30.142,29.35,32.341,31.166,30.388
Grand Valley Solar Gardens,42.9531,-85.9012,,,,3.619,4.382,4.242,3.549
Grand View Solar Two,42.9896,-116.0934,,,,3.5820000000000000,163.316,182.356,180.168
Grange Hall Solar,27.6813,-82.1647,,,,,,0.061,105.555
Granger,33.2704,-117.0588,,,,1.978,7.729,7.748,7.198
Granite Mountain Solar East  LLC,37.7751,-113.2264,,,,55.797000000000000,208.687,208.091,204.07500000000000
Granite Mountain Solar West  LLC,37.7989,-113.322,,,,25.727,127.971,123.56700000000000,125.44
Granite Peak Solar Plant,38.4028,-112.9889,,,0.026000000000000000,5.565,6.191,6.074,5.663
Grants CDEC 2,35.14,-107.821,,,,,,,0.092
Gratis Road Solar Facility,33.8446,-83.6974,,,,,,5.581,5.75
Gray Hawk Solar,35.3635,-113.8978,,,,,,76.07600000000000,139.943
Grazing Yak Solar,38.9778,-104.2527,,,,,,,4.545
Great Bay Solar 1,38.1689,-75.6975,,,,,,107.182,134.193
Great Divide Solar  LLC,46.8057,-112.249,,,,,0.75,6.149,5.934
Great Valley Solar Portfolio Holdings  LLC,36.5812,-120.3796,,,,,10.333,532.455,544.727
Greater Sandhill I,37.6855,-105.8909,47.689,46.378,45.653,47.303000000000000,47.21,47.439,46.834
Green Acres Solar Facility 1,38.282,-121.4647,6.7,6.7,7.07,6.72,6.485,6.354,6.33
Green Beanworks B PV,34.688,-117.9895,,,,,,0.045,7.651
Green Beanworks C PV,34.597,-117.931,,,,,,2.654,7.672000000000000
Green Beanworks D PV,34.655,-118.0821,,,,,,2.428,7.413
Green Farm,35.8317,-77.2697,,,,8.506,9.73,7.247,7.923
Green Meadow Solar  LLC,46.6945,-112.0636,,,,,4.339,6.157,5.204
Green Meadows,41.6694,-70.5319,,3.52,5.495,5.836,5.465,5.104,4.422
Griffin Solar,31.4741,-97.1412,,,,,,,0.656
Grove Solar,35.1692,-77.1182,,,,,,,13.458
Grove Solar Center  LLC,43.9367,-117.3812,,,,0.9470000000000000,12.176,13.393,13.458
Groveland Solar,42.7511,-71.0372,4.67082,4.585,4.558,4.859,4.337,4.32,4.495
Guernsey Solar Station,36.1639,-119.6506,11.488,46.332,46.157000000000000,45.922000000000000,44.076,43.717,43.083
Gulf Coast Solar Center I,30.5154,-86.5184,,,,,34.533,56.572,59.06
Gulf Coast Solar Center II,30.4308,-86.8952,,,,,11.108,77.212,78.572
Gulf Coast Solar Center III,30.4704,-87.3352,,,,,13.687000000000000,93.23,94.74
Gulfport Naval Base CSG PV System,30.3799,-89.1192,,,,,5.843,6.128,5.325
Gutenberg Solar,36.4864,-77.5348,,,,,,,17.981
Guyton Community Solar,32.4128,-81.4428,,,,,,,3.95
HL Solar,40.373,-120.262,,,,,,,4.086
HMW Minster PV I,40.3904,-84.4016,,,0.005,5.199,5.101,4.986,4.7540000000000000
HXNAir Solar One,36.3487,-77.6315,,,,,0.015,0.299,9.144
Hadley Solar NG  LLC,42.3521,-72.5389,,1.582,3.3160000000000000,3.4,3.45,3.459,3.486
Haley Solar,33.0234,-81.2934,,,,,0.858,18.249,17.35
Halifax,36.4419,-77.7114,,0,27.964000000000000,30.097,17.086000000000000,33.511,37.018
Hamilton Solar Power Plant,30.4443,-83.1869,,,,,,0.8170000000000000,180.635
Hamilton Solar-Crosswicks,40.169,-74.6301,,,,11.285,10.42,9.662,10.285
Hammer CSG,45.4176,-94.0094,,,,,,0.859,5.839
